Text,Text_length,token_length
نحب عمي برهان بزاف بصح مانديرش جام جامي ,40,18
جوااد قطعت روحي بالبارطاج كوبي كولي للرابط فين مانمشي نحطه درت تحدي مع نفسي على الف مشاهدة خلال يوم واحد ولكن للاسف وصلت غي بصح ماعليش مستمروون ,144,55
والله يا خبيب نتا عندك روح مرحة و كل هذا التفاعل ناقص بزاف هاو علاش ليوتوب الجزائر ضعيف بزاف ,93,33
رابي يوفقكم عقليا أوفار هي سر نجاح هه ,38,19
من فضلك اخي حابة نعرف التجارة من البيت للمراة الماكثة فالبيت ,61,21
ربي معاك ولد بلادي عام جديد انشاء الله ,39,12
كليتها في ارتاكاي بصح ثقيلة بزاف ,33,17
zahrat almarikh ان شاء الله اتمنى دالك ,39,13
أول تعليق جواد خويا ربي يحفظك  ,31,16
هه ياخويا ضحك زيد على حرودي ,28,14
تستاهل كل خير جامل نتا انسان طيب بزاف ,38,16
شكون لي فاق لموسيقة انترو لي هيا ااوترو تع TIM THE TAT MAN  وينكم يا الڨيمرز ,77,32
والله شعال تعجبني خويا جواد الخلق والأدب أو تستاهل كل خير كن عندي رقم الهاتف نشقى عندك لسيق كي دجي إنشاء الله ,110,38
صل على النبي عهه اميين نشالله تزور السعودية يارب وتتزوج سعودية  ,64,21
"انا متأكد أن  من الناس الأولين اللي تفرجو هذا الفيديو من صحاب الإصبع لزرڤ بعدما قرأوا العنوان ",95,33
هشام راك تووب اكدلي علا روح الحراك روح هه ,42,18
Sofiane Iartiste الشيئ لي قولتو صحيح  كأنك تعرف القصةهذا ما حصل بالظبط معي ,75,27
بفضل قرأة أخ مصري توفي من  سنة  ,32,15
تعرفو غير تحلو فمكم يخي رجل ,28,14
واخيرا رجعو الكوميديين دقيوس ومقيوس هه ,39,19
تيزانة تع اوهيهات وقيل الخزامة وربي عالم ,41,18
افضل ممثل في تاريخ الجزائر و أفضل مخرج في تاريخها أيضا  يستحق الاوسكار لاحسن فنان اجنبي و مخرج اجنبي ,101,37
عالم ڨامبول المدهش المحتوى الجزائري تحت الأنقاض ضحكتو علينا الناس مارفال تحشم باش دير هذا السيناريو  ,101,38
 gvxrexg  لالا  عاشور هو االوريث الشرعي تع الحكم مور جواد عليها شعل السيف  دوك كي يزيد وليد جواد لي يطفى في يد عاشور ,117,50
والله صح حتى أنا راني جيت نعاودو ,33,15
Haha والله غير راني حاب ندير  فالسمانة لكن مع لاخدمة صعيبة بزآف لكن نوعدكم أني ندير قدر المستطاع ربي يوفقني برك ,112,44
مالقاش واش يهدر على دقيوس و مقيوس Foor ,39,19
 oqkkzrf  واش جيجلية وين تسكني في  ,35,20
من خلال متابعتي لخبيب شفت بلي العالم كامل ياكل بيديه غير الجزايريين ياكلو بلمغارف خويا خبيب متنساش منا و رايح كي تسافر لاي بلاد دي معاك مغرف ,141,54
السلام عليكم ورحمه الله وبركاته انا من الجزائر حاب نسالك انا حاب نروح كاليفورنيا كيف نفعل قولي الله يعيشك ,106,31
رح اموت من الفرح ادا جاني متابع جديد ,37,14
أحسن ممثل صويلح الله يطول في عمرك تحية لك من بنت الباهية ,57,24
ڨاع رانا هكا والله ما نسمح في عرڨي ,35,16
نضال يعطيك الصحة ابدعتي وصويلح غني علي الشكر ربي يشفيك ,55,26
دير مغامرة لجبل كسال لولاية البيض وصور المناظر تاعه ,52,22
و أنت اخدمت و تعبت و نلت بارك الله فيكيقدرك و يعينكم و يجازيك خير الجزاءدير الخير قد ما تقدر و اعرف مع منو شد في دينك و لا تبالي,128,50
وياا شفتو في رمضان نضحك ولا نبكي الموهم فرجت عليا بون كوراج فايتينغ  ,69,32
لي بغا يتعلم التصوير و المونتاج و التصميم دي  يشترك عندي  محتوى متجدد و شرح مبسط للجميع   ,90,34
مسلسل هذا كي دخلوا فيه مخابرات فسد ,35,14
نتشرفو ا بيك خويا خبيبشاب بسيط مستوى راقي منافسربي يوفقك ,57,26
الله يبارك خويا هشام ران معاك ونشالله من الأحسن للأحسن و الي يبغي هشام يجي يديرنا أبونا ربي يخليكم ,99,39
من بكري مانتفرج والو من المسلسلات وزاد نتفرج زوم عيفتني فيهم كاامل هه ,70,30
لي عندو الاجابة على سؤالي مايبخلش لي هو كيفاش نديرو تاست قبل ما نبدا نبيع ,74,28
جزاكم الله خيرا وفقكم الله تعالى ورزقكم الإخلاص في القول والعمل ,64,24
ااسلام عليكم ياك اخوك من عراق ما فهمت شي تراني عراقي ,53,20
بالعامية لأنو تاع دولة المدير هناك كأنه إله عمرو ولا قال السلام,63,19
المونتاج و التقطيع داير حالة تكلي الدجاج اه ,44,17
Razan Hussam نعم فلسطين الجزائر بين زوج لعبو ,45,14
ربي يدوم فرحتك ان شاء الله ,27,10
يبان مريض ذهنيا عينيه على العام بلقين و يلعب مقلق بزاف عصبي بزاف,64,26
هه والله لا ضحكتني ربي يفرحك ان شااء الله انت و هذيك لمرا عجبتني ,65,27
الحمد لله علي نعمة الاسلام والمسلمين اجمعين ,44,12
بلاك نتا رحت لاورار  شابة خير على بني بلعيد ميروحولهاش بزاف ,60,27
في هذا الشهر صلو على حبيبنا محمد صلي الله عليه و سلم ,53,18
ثم تذهب الطمأنينة  ويأتي عسر الحال,34,16
اكدلي على طريق باري منين جات ,29,12
كالعادة محتوى عالمي مزيد من تألق ,33,14
ديرنا ZOOM على عاشور العاشر لي معايا يخبط جام ,46,15
خبيب خوياا جولة قمة ان شاء الله تستغل موهبتك في بيان الجمال الجزائري في كل بلدان مع ترجمة الكلام بلغه الانجليزية وهدا يدعم على السياحة في الجزائر وربي يوفقك وراني نحوس معاك هخخ ربي يحفظك خوياا بون كوراج ,203,76
ان شاء الله توصل الملون في هذا الأسبوع ,39,12
مــا شاء الله ربي يبارك وربي يحفظ وليدات بلادي ,47,19
