Text,Text_length,token_length
Una delle cose più belle sentire il Coran ,42,11
jai  ans jai fait que Anglais LV je comprends exactement ce quil dit x mais pas grave ,86,21
Girl skate mart Swilah hiya la réalisatrice Fatma Blhaj ,56,16
Quand je vois des jeunes intelligents motives et perseverants jai espoir en notre Algerie forte et prospere inchaa Allah ,121,28
 urnqpmv  all that In order to money ,37,16
Fort bezaff Mais ca sappelle MAKING OF pas miking ,50,15
No he is right you should say saw,33,9
Tutu à vous et votre famille et à bientôt jespère je tembrasse très tendrement et je suis à votre disposition cordialement mme le plus rapidement possible et je ne sais pas si tu veux bien que les gens ne savent pas si vous avez reçu ce courriel est pour vous et votre disposition pour toute demande de ski de fond en bois et de fond pour les photos des deux autres en bois avec un autre moment si je suis sûre et certaine que tu as des questions nhésitez pas à me contacter pour toute question ou remarque concernant le plus grand que celui qui le plus rapidement suivre lévolution des deux autres sont à la maison de retraite à la recherche dune entreprise pour la suite des deux côtés des deux dernières années jai ,718,149
Ga amlah swilah nmot lih basah hadak agomi ytgoar alrach bara manhaboch vivi wahad motawada ,92,31
Et ouais mon gars c moi que votre Jul et votre Kaaris machin machin Allez petite punch pr Jul PNL ,98,26
I was just there two weeks ago Sadly did not pump into you ,59,15
As an idea come to ouargla participate in the rally ,52,14
asnat jdide ya hbibnat hh nta wlh la karita hh  hfdk  ,54,22
   peut être aujourdhui mais demain ça sera la République kabyle ont est pas loin de lavoir  plus de  des Kabyles sont pour lindépendance  ,139,37
Raho lha ramdam ou mazal nchof ,31,14
Mashallah rabi ywafakoum ntmana nji ljijel wnmouut la lom welahi mashallah la dziar ,84,30
el mouhimm pour ne pas être négatif  tes vidéos sont superb ,60,17
Timeo Laval mdr toi je te parle pas quest ce que tu viens me parlé jen ai rien a pété de toi si tes pas content dégage kikoo ,125,35
Mourad you are the best I hope you achieve other dreams  ,57,15
discussion très intéressante jadore ce genre de discussion ou il y a de partage dexpérience cest réelle et vrai barakou allahou fikom go on ,140,33
Salem wlid bladi cest toujours une joie de regarder tes vidéos ,63,15
Your english is horrible but i love you man lol keep going  ,60,14
kameltha  fois aya doka nwalo dok ga kif kif ,45,16
Good way to have a heart relax Barack Allah ,44,11
Allah ybarak jawad ga les vlogs tawak tfarjthom ,48,17
When we talk about big gaincountry in world can u guess how is build by sacrifice ,82,19
Score Master  ConTV et ouii ,28,10
 la chonçon chthou liha blackpink ,34,12
iya djamal ki njib vane tai  njibhalek nta  dabar rassek hh wela wach ,70,27
Marba bik andna fi Constantine vidéo vraiment magnifique,56,11
LA MORT t con en est en quand moi je taicri allez maitant tu viens du future estce que liphone  est sortie bimm ,112,32
Do you have courage   Omar Mokhtar motivation  Thank you friend ,64,15
Badji is the best in this series man he killed me ,50,14
Ya Djamal nta chikour Sahbi Rabi iwafak mtnsanch brk bl mehtawa ,64,24
Juste magnifique tes le meilleur bro et bonne continuation ,59,12
akid tilawa dyalo tatkhalina nssafro ila ma la nihaya ihssass rahib allah yrahmak wayatik janat alfirdawss alala ,113,40
mister x ydahkni ktarmn les skatech wles citcom nchalah mayhbasch zoom ,71,27
Hiba Creative World nchalah follow me on instagram djawed_vlog ,63,18
Y a du monde en ce confinement merdique  ,41,12
Thanks from Colombia  El inmigrante venezolano Writer ,54,11
Ya khawti ana hada huwa hicham li ydahakni ,43,18
cet épisode ma beaucoup touché Bravo et bon courage ,52,12
Le Pakistane est vraiment un très beau pays ,44,12
Tu mas appris un truc sur ma propre ville  bonne continuation ,62,14
Amin yarb ALAMINE  drahem yajadek ,34,14
